vCPU;RAM;SSD C;SSD E;SSD Summ;Price;IP addr
4,00;64,00;200,00;500,00;700,00;11 920;10.20.42.67
8,00;64,00;80,00;600,00;680,00;12 960;10.20.42.68
12,00;48,00;100,00;1274,00;1374,00;27 072;10.20.42.20
10,00;40,00;585,00;;585,00;18 080;10.20.42.44
2,00;32,00;40,00;;40,00;3 480;10.20.42.2
8,00;32,00;256,00;;256,00;7 008;10.20.42.9
8,00;32,00;120,00;;120,00;5 920;10.20.42.105
8,00;32,00;120,00;;120,00;5 920;10.20.42.106
8,00;32,00;120,00;500,00;620,00;9 920;10.20.42.107
8,00;32,00;120,00;;120,00;5 920;10.20.42.108
8,00;32,00;120,00;;120,00;11 680;10.20.42.109
8,00;32,00;300,00;100,00;400,00;13 920;10.20.42.12
8,00;32,00;260,00;;260,00;12 800;10.20.42.22
8,00;32,00;512,00;;512,00;9 056;10.20.42.27
6,00;32,00;130,00;1536,00;1666,00;17 688;10.20.42.29
8,00;32,00;100,00;2560,00;2660,00;32 000;10.20.42.30
4,00;32,00;160,00;1824,00;1984,00;23 792;10.20.42.33
8,00;32,00;110,00;910,00;1020,00;13 120;10.20.42.42
4,00;32,00;80,00;770,00;850,00;10 560;10.20.42.45
4,00;32,00;160,00;540,00;700,00;9 360;10.20.42.81
8,00;32,00;1024,00;;1024,00;13 152;10.20.42.84
8,00;32,00;100,00;2048,00;2148,00;27 904;10.20.42.99
4,00;32,00;70,00;350,00;420,00;7 120;10.20.42.15
6,00;24,00;60,00;3072,00;3132,00;33 096;10.20.42.16
6,00;24,00;100,00;1024,00;1124,00;17 032;10.20.42.31
6,00;24,00;100,00;1836,00;1936,00;19 208;10.20.42.48
5,00;20,00;1024,00;;1024,00;14 892;10.20.42.94
6,00;18,00;100,00;2048,00;2148,00;0,00;10.20.42.13
4,00;16,00;100,00;600,00;700,00;10 960;10.20.42.8
4,00;16,00;60,00;500,00;560,00;6 960;10.20.42.17
4,00;16,00;128,00;4096,00;4224,00;39 152;10.20.42.21
4,00;16,00;150,00;700,00;850,00;9 280;10.20.42.32
4,00;16,00;60,00;240,00;300,00;7 760;10.20.42.34
6,00;16,00;1024,00;;1024,00;11 272;10.20.42.43
6,00;16,00;300,00;;300,00;5 480;10.20.42.61
4,00;16,00;120,00;1124,00;1244,00;12 432;10.20.42.66
6,00;16,00;120,00;200,00;320,00;5 640;10.20.42.71
4,00;16,00;328,00;;328,00;7 984;10.20.42.41
4,00;16,00;328,00;;328,00;5 104;10.20.42.141
4,00;16,00;120,00;;120,00;3 440;10.20.42.73
4,00;16,00;60,00;900,00;960,00;10 160;10.20.42.74
4,00;16,00;80,00;240,00;320,00;5 040;10.20.42.80
8,00;16,00;100,00;1024,00;1124,00;12 672;10.20.42.91
4,00;16,00;100,00;;100,00;3 280;10.20.42.98
8,00;12,00;80,00;512,00;592,00;8 096;10.20.42.11
4,00;12,00;130,00;140,00;270,00;0,00;10.20.42.14
3,00;12,00;610,00;;610,00;8 900;10.20.42.62
2,00;8,00;170,00;700,00;870,00;8 200;10.20.42.10
2,00;8,00;300,00;;300,00;5 080;10.20.42.18
4,00;8,00;120,00;;120,00;2 800;10.20.42.26
2,00;8,00;80,00;;80,00;3 320;10.20.42.37
4,00;8,00;;;0,00;22 340;10.20.42.49
4,00;8,00;;;;0,00;10.20.42.63
4,00;8,00;90,00;200,00;290,00;6 400;10.20.42.76
4,00;8,00;120,00;;120,00;2 800;10.20.42.83
4,00;8,00;100,00;100,00;200,00;3 440;10.20.42.88
4,00;8,00;100,00;1024,00;1124,00;10 832;10.20.42.90
2,00;8,00;;;;31 816;10.20.42.97
2,00;6,00;;;0,00;21 580;10.20.42.46
2,00;6,00;;;0,00;21 580;10.20.42.47
2,00;4,00;80,00;;80,00;1 560;10.20.42.3
2,00;4,00;650,00;;650,00;6 120;10.20.42.4
2,00;4,00;650,00;;650,00;6 120;10.20.42.5
2,00;4,00;650,00;;650,00;6 120;10.20.42.6
2,00;4,00;650,00;;650,00;6 120;10.20.42.7
4,00;4,00;40,00;;40,00;1 840;10.20.42.102
4,00;4,00;40,00;;40,00;1 840;10.20.42.103
4,00;4,00;40,00;;40,00;1 840;10.20.42.104
4,00;4,00;40,00;35,00;75,00;4 120;10.20.42.36
2,00;4,00;30,00;;30,00;1 160;10.20.42.38
2,00;4,00;;;;0,00;10.20.42.65
2,00;4,00;80,00;1124,00;1204,00;10 552;10.20.42.86
1,00;2,00;10,00;;10,00;740,00;10.20.42.39
2,00;2,00;;;;2 828;10.20.42.40
2,00;2,00;;;;4 876;10.20.42.79
2,00;2,00;;;;0,00;10.20.42.85
2,00;2,00;40,00;;40,00;1 080;10.20.42.95
1,00;1,00;20,00;;20,00;740,00;10.20.42.19
1,00;1,00;1,00;;1,00;788,00;10.20.42.23
;;;;;;
;;;;;;
;;;;;;
;;;;;;10.20.42.1
;;;;;;10.20.42.24
;;;;;;10.20.42.25
;;;;;;10.20.42.28
;;;;;;10.20.42.35
;;;;;;10.20.42.41
;;;;;0;10.20.42.50-55
;;;;;;10.20.42.64
;;;;;;10.20.42.69
;;;;;;10.20.42.70
;;;;;;10.20.42.75
;;;;;;10.20.42.77
;;;;;;10.20.42.78
;;;;;;10.20.42.82
;;;;;;10.20.42.87
;;;;;;10.20.42.89
;;;;;;10.20.42.92
;;;;;;10.20.42.93
;;;;;;10.20.42.96
